imagePath,title,caption,labels
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10673.jpg,Doodle Girl Ballet School Black Tops,a black tops for women casual(fall 2011).,ArticleType=Tops; Colour=Black; Gender=Women; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28159.jpg,Ray-Ban Men Aviator Sunglasses,a metallic sunglasses for men casual(winter 2016).,ArticleType=Sunglasses; Colour=Metallic; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33743.jpg,Vero Moda Women Simka Grey Top,a grey tops for women casual(summer 2012).,ArticleType=Tops; Colour=Grey; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28378.jpg,Idee Men Black Sunglasses,a black sunglasses for men casual(winter 2016).,ArticleType=Sunglasses; Colour=Black; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\21938.jpg,Murcia Women Casual Purple Handbag,a purple handbags for women casual(winter 2015).,ArticleType=Handbags; Colour=Purple; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26634.jpg,Puma Men Future Cat Red Casual Shoes,a red casual shoes for men casual(summer 2012).,ArticleType=Casual Shoes; Colour=Red; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\34462.jpg,ADIDAS Unisex Black Laptop Sleeve,a black laptop bag for unisex casual(summer 2012).,ArticleType=Laptop Bag; Colour=Black; Gender=Unisex; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58955.jpg,Denim Men Temptation Deo,a red deodorant for men casual(spring 2017).,ArticleType=Deodorant; Colour=Red; Gender=Men; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3124.jpg,Inkfruit Men's Soccer Power Blue T-shirt,a blue tshirts for men casual(summer 2011).,ArticleType=Tshirts; Colour=Blue; Gender=Men; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55595.jpg,Peter England Men Brown Check Shirt,a white shirts for men casual(summer 2012).,ArticleType=Shirts; Colour=White; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\56573.jpg,Streetwear Stay On Mineral Marble Foundation,a skin foundation and primer for women(spring 2017).,ArticleType=Foundation and Primer; Colour=Skin; Gender=Women; Season=Spring; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39823.jpg,Red Tape Men Brown Sandals,a brown sandals for men casual(summer 2012).,ArticleType=Sandals; Colour=Brown; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47078.jpg,Shree Women Multi Colored Patiala,a multi patiala for women ethnic(fall 2012).,ArticleType=Patiala; Colour=Multi; Gender=Women; Season=Fall; Usage=Ethnic; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37789.jpg,John Players Men Formal Lavender Shirt,a lavender shirts for men formal(summer 2012).,ArticleType=Shirts; Colour=Lavender; Gender=Men; Season=Summer; Usage=Formal; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\52823.jpg,Adrika Green Earrings,a green earrings for women casual(summer 2012).,ArticleType=Earrings; Colour=Green; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\34978.jpg,Fabindia Women Black Stole,a black stoles for women casual(summer 2012).,ArticleType=Stoles; Colour=Black; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55057.jpg,Lakme Enrich Satins Lipstick 129,a pink lipstick for women casual(spring 2017).,ArticleType=Lipstick; Colour=Pink; Gender=Women; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58988.jpg,Cavallini Women Deo,a green deodorant for women casual(spring 2017).,ArticleType=Deodorant; Colour=Green; Gender=Women; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25966.jpg,Femella Women Brown Dress,a brown dresses for women casual(summer 2012).,ArticleType=Dresses; Colour=Brown; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54987.jpg,Femella Women Black Top,a black tops for women casual(summer 2012).,ArticleType=Tops; Colour=Black; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24868.jpg,Reid & Taylor Men Casual Black Wallet,a black wallets for men casual(summer 2012).,ArticleType=Wallets; Colour=Black; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46419.jpg,Timex Men Brown Dial Empera Watch,a brown watches for men casual(winter 2016).,ArticleType=Watches; Colour=Brown; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8843.jpg,Scullers Men Scul Beige Trousers,a beige trousers for men casual(summer 2011).,ArticleType=Trousers; Colour=Beige; Gender=Men; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\57102.jpg,Elle Women White EssentialsTop,a white tops for women casual(summer 2012).,ArticleType=Tops; Colour=White; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55430.jpg,Revlon Honey Colorburst Lipstick 097,a peach lipstick for women casual(spring 2017).,ArticleType=Lipstick; Colour=Peach; Gender=Women; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43639.jpg,Vero Moda Women Magenta Top,a magenta tops for women casual(summer 2012).,ArticleType=Tops; Colour=Magenta; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38660.jpg,Nike Men Braata Canvas Red Casual Shoes,a maroon casual shoes for men casual(summer 2012).,ArticleType=Casual Shoes; Colour=Maroon; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7911.jpg,Proline Men Grey & Yellow Striped Polo T-shirt,a grey tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Grey; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\40999.jpg,Gini and Jony Girls Woven Black Jeans,a black jeans for girls casual(summer 2012).,ArticleType=Jeans; Colour=Black; Gender=Girls; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13519.jpg,Spykar Men Stripes White Sweatshirts,a white sweatshirts for men casual(fall 2011).,ArticleType=Sweatshirts; Colour=White; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3699.jpg,Tantra Women's Shloka Navy Long T-shirt,a navy blue tshirts for women casual(summer 2011).,ArticleType=Tshirts; Colour=Navy Blue; Gender=Women; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13715.jpg,Proline Mens Solid Black Polo Tshirt,a black tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Black; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\27128.jpg,Miss-T Cream Bra,a cream bra for women casual(summer 2017).,ArticleType=Bra; Colour=Cream; Gender=Women; Season=Summer; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39834.jpg,Gini and Jony Boys Striped Yellow T-Shirt,a yellow tshirts for boys casual(summer 2012).,ArticleType=Tshirts; Colour=Yellow; Gender=Boys; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25337.jpg,CASIO Sheen Women Silver-Toned Dial Analogue Watch (SH170) SHN-3017D-7ADR,a silver watches for women casual(winter 2016).,ArticleType=Watches; Colour=Silver; Gender=Women; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\51667.jpg,Louis Philippe Men Grey Sunglasses,a grey sunglasses for men casual(winter 2016).,ArticleType=Sunglasses; Colour=Grey; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3462.jpg,ADIDAS Men's Ezeiro Silver Black Shoe,a silver sports shoes for men sports(summer 2011).,ArticleType=Sports Shoes; Colour=Silver; Gender=Men; Season=Summer; Usage=Sports; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24768.jpg,Spalding Men Grey Flip-Flops,a grey flip flops for men casual(spring 2011).,ArticleType=Flip Flops; Colour=Grey; Gender=Men; Season=Spring; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25249.jpg,Lino Perros Women Leatherette Brown Handbag,a brown handbags for women casual(summer 2012).,ArticleType=Handbags; Colour=Brown; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2220.jpg,Puma Men Carbon Black Sandal,a black sandals for men sports(fall 2010).,ArticleType=Sandals; Colour=Black; Gender=Men; Season=Fall; Usage=Sports; Year=2010
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\56093.jpg,Colorbar Star Mauve Fizz Lip Gloss 014,a mauve lip gloss for women casual(spring 2017).,ArticleType=Lip Gloss; Colour=Mauve; Gender=Women; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58174.jpg,Rocky S Women White Handbag,a white handbags for women casual(fall 2012).,ArticleType=Handbags; Colour=White; Gender=Women; Season=Fall; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\34451.jpg,Rocia Women Black Sandals,a black flats for women casual(winter 2012).,ArticleType=Flats; Colour=Black; Gender=Women; Season=Winter; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39632.jpg,Nike Men Air Max Courtballistec Red Sports Shoes,a red sports shoes for men sports(summer 2012).,ArticleType=Sports Shoes; Colour=Red; Gender=Men; Season=Summer; Usage=Sports; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\40658.jpg,Span Women Multi Coloured Kurta,a multi kurtas for women ethnic(summer 2012).,ArticleType=Kurtas; Colour=Multi; Gender=Women; Season=Summer; Usage=Ethnic; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26348.jpg,DKNY Women Quartz Watch,a white watches for women casual(winter 2016).,ArticleType=Watches; Colour=White; Gender=Women; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\15738.jpg,Nike Men Black Flip Flops,a black flip flops for men casual(summer 2012).,ArticleType=Flip Flops; Colour=Black; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55253.jpg,Lakme Glide On Aqua Marine Eye Color,a blue kajal and eyeliner for women casual(spring 2017).,ArticleType=Kajal and Eyeliner; Colour=Blue; Gender=Women; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\30484.jpg,Lovable Women Fiona Black Bra,a black bra for women casual(summer 2014).,ArticleType=Bra; Colour=Black; Gender=Women; Season=Summer; Usage=Casual; Year=2014
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\51325.jpg,Wildcraft Unisex Black & Grey Checked Bishop Sling Bag,a black handbags for unisex casual(summer 2015).,ArticleType=Handbags; Colour=Black; Gender=Unisex; Season=Summer; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4865.jpg,ADIDAS Men White Liverpool Jersey,a white tshirts for men sports(summer 2011).,ArticleType=Tshirts; Colour=White; Gender=Men; Season=Summer; Usage=Sports; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43566.jpg,Puma Unisex Red Buddy Backpack,a red backpacks for unisex casual(summer 2012).,ArticleType=Backpacks; Colour=Red; Gender=Unisex; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47276.jpg,FCUK Underwear Black & White Boxers,a black boxers for men casual(summer 2016).,ArticleType=Boxers; Colour=Black; Gender=Men; Season=Summer; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38673.jpg,Nike Women Purple Sports Shoes,a purple sports shoes for women sports(summer 2012).,ArticleType=Sports Shoes; Colour=Purple; Gender=Women; Season=Summer; Usage=Sports; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46527.jpg,Timex Men White Dial Watch T2M707,a white watches for men casual(winter 2016).,ArticleType=Watches; Colour=White; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19495.jpg,Puma Men Sport Quarters Pack of 3 White Socks,a white socks for men sports(summer 2010).,ArticleType=Socks; Colour=White; Gender=Men; Season=Summer; Usage=Sports; Year=2010
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\11230.jpg,Esprit Women Cine Citta White Watches,a white watches for women casual(winter 2016).,ArticleType=Watches; Colour=White; Gender=Women; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\49638.jpg,Mineral Women Pink Top,a pink tops for women casual(summer 2012).,ArticleType=Tops; Colour=Pink; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36906.jpg,Fossil Men Grey Dial Watch ME1114,a grey watches for men casual(winter 2016).,ArticleType=Watches; Colour=Grey; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46243.jpg,Fusion Beats Women White & Green Tunic,a white tunics for women ethnic(summer 2012).,ArticleType=Tunics; Colour=White; Gender=Women; Season=Summer; Usage=Ethnic; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\11970.jpg,Batman Men's Good Evil Grey T-shirt,a grey tshirts for men casual(fall 2011).,ArticleType=Tshirts; Colour=Grey; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44814.jpg,Spykar Women Maroon Top,a maroon tops for women casual(summer 2012).,ArticleType=Tops; Colour=Maroon; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58629.jpg,ToniQ Women Black Bangles,a black bangle for women casual(winter 2016).,ArticleType=Bangle; Colour=Black; Gender=Women; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25045.jpg,Lino Perros Men Formal Blue Red Accessory Gift Set,a blue accessory gift set for men formal(winter 2015).,ArticleType=Accessory Gift Set; Colour=Blue; Gender=Men; Season=Winter; Usage=Formal; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\11225.jpg,Esprit Women Cinecitta Black Steel Watches,a steel watches for women casual(winter 2016).,ArticleType=Watches; Colour=Steel; Gender=Women; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\21496.jpg,Kiara Women Mustard Leatherite Handbag,a mustard handbags for women casual(winter 2015).,ArticleType=Handbags; Colour=Mustard; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\22375.jpg,Mark Taylor Men White Striped Blue Shirt,a blue shirts for men casual(fall 2011).,ArticleType=Shirts; Colour=Blue; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\6300.jpg,UCB Women's Epaulettes Sleeve Green T-shirt,a green tshirts for women casual(summer 2011).,ArticleType=Tshirts; Colour=Green; Gender=Women; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54103.jpg,Rocia Women Black Flats,a black heels for women casual(winter 2012).,ArticleType=Heels; Colour=Black; Gender=Women; Season=Winter; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\11877.jpg,Franco Leone Men Casual Brown Sandals,a brown sandals for men casual(summer 2012).,ArticleType=Sandals; Colour=Brown; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33580.jpg,Wrangler Men Hiker Striped Blue T-shirt,a blue tshirts for men casual(summer 2012).,ArticleType=Tshirts; Colour=Blue; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36381.jpg,Reid & Taylor Men Grey Socks,a grey socks for men casual(summer 2016).,ArticleType=Socks; Colour=Grey; Gender=Men; Season=Summer; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\15850.jpg,Warner Bros Kids Unisex TJ Playlogs Blue Sandals,a blue sandals for unisex casual(fall 2011).,ArticleType=Sandals; Colour=Blue; Gender=Unisex; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46480.jpg,Timex Women Steel Watch,a steel watches for women casual(winter 2016).,ArticleType=Watches; Colour=Steel; Gender=Women; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17724.jpg,Reid & Taylor Men Check Grey Shirt,a grey shirts for men casual(fall 2011).,ArticleType=Shirts; Colour=Grey; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59643.jpg,FNF Multicoloured Evening Wear Sari,a grey sarees for women ethnic(fall 2012).,ArticleType=Sarees; Colour=Grey; Gender=Women; Season=Fall; Usage=Ethnic; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36322.jpg,Mr.Men Boys Mr. Scatterbrain White T-shirt,a white tshirts for boys casual(summer 2012).,ArticleType=Tshirts; Colour=White; Gender=Boys; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\12414.jpg,Reid & Taylor Men Casual Black Wallets,a black wallets for men casual(fall 2011).,ArticleType=Wallets; Colour=Black; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26744.jpg,Reebok Men Reeplay Deo,a red deodorant for men casual(spring 2017).,ArticleType=Deodorant; Colour=Red; Gender=Men; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17759.jpg,Buckaroo Men Rey charcoal Casual Shoe,a charcoal casual shoes for men casual(winter 2011).,ArticleType=Casual Shoes; Colour=Charcoal; Gender=Men; Season=Winter; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\48206.jpg,United Colors of Benetton Men Black Sunglasses,a black sunglasses for men casual(winter 2016).,ArticleType=Sunglasses; Colour=Black; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\45943.jpg,Mumbai Slang Women Green Top,a green tops for women casual(summer 2012).,ArticleType=Tops; Colour=Green; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\52350.jpg,Red Rose Women Blue Nightdress,a blue nightdress for women casual(winter 2015).,ArticleType=Nightdress; Colour=Blue; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18350.jpg,Fila Mens Ankel Logo White Socks,a white socks for men casual(summer 2013).,ArticleType=Socks; Colour=White; Gender=Men; Season=Summer; Usage=Casual; Year=2013
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\53579.jpg,Q&Q Men Blue Dial Watch,a blue free gifts for men casual(winter 2016).,ArticleType=Free Gifts; Colour=Blue; Gender=Men; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28516.jpg,Nike Men Home Red Jersey,a red tshirts for men sports(summer 2012).,ArticleType=Tshirts; Colour=Red; Gender=Men; Season=Summer; Usage=Sports; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\9169.jpg,Locomotive Men Ian Blue Jeans,a blue jeans for men casual(fall 2011).,ArticleType=Jeans; Colour=Blue; Gender=Men; Season=Fall; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46725.jpg,Rassasi Men Deo and Perfume,a silver deodorant for men casual(spring 2017).,ArticleType=Deodorant; Colour=Silver; Gender=Men; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\5481.jpg,Nike Men Air Courtballistec Blue Shoe,a blue sports shoes for men sports(summer 2011).,ArticleType=Sports Shoes; Colour=Blue; Gender=Men; Season=Summer; Usage=Sports; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13280.jpg,Inc 5 Women Casual Multi Flats,a multi heels for women casual(winter 2012).,ArticleType=Heels; Colour=Multi; Gender=Women; Season=Winter; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28763.jpg,Aurelia Women Maroon Kurta,a maroon kurtas for women ethnic(summer 2012).,ArticleType=Kurtas; Colour=Maroon; Gender=Women; Season=Summer; Usage=Ethnic; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20907.jpg,Catwalk Women Casual Gold Sandals,a gold heels for women casual(winter 2015).,ArticleType=Heels; Colour=Gold; Gender=Women; Season=Winter; Usage=Casual; Year=2015
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2716.jpg,Disney Kids Girl's Minnie Red Stripped Kidswear,a red tops for girls casual(summer 2011).,ArticleType=Tops; Colour=Red; Gender=Girls; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47335.jpg,Baggit Women Green Handbag,a green handbags for women casual(summer 2012).,ArticleType=Handbags; Colour=Green; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55984.jpg,Colorbar Velvet Matte Love That Rust Lipstick 48 BR,a red lipstick for women casual(spring 2017).,ArticleType=Lipstick; Colour=Red; Gender=Women; Season=Spring; Usage=Casual; Year=2017
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26556.jpg,Lee Cooper Men Black Sandals,a black sandals for men casual(fall 2012).,ArticleType=Sandals; Colour=Black; Gender=Men; Season=Fall; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39375.jpg,Helix Women Silver Dial Watch,a silver watches for women casual(winter 2016).,ArticleType=Watches; Colour=Silver; Gender=Women; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\56885.jpg,HM Women Red Heels,a red heels for women casual(winter 2012).,ArticleType=Heels; Colour=Red; Gender=Women; Season=Winter; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46973.jpg,Bulchee Women Black Handbag,a black handbags for women casual(summer 2012).,ArticleType=Handbags; Colour=Black; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17312.jpg,Pepe Jeans Women Casual Sunglasses,a black sunglasses for women casual(winter 2016).,ArticleType=Sunglasses; Colour=Black; Gender=Women; Season=Winter; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\51505.jpg,Denizen Women Blue Jeans,a blue jeans for women casual(summer 2012).,ArticleType=Jeans; Colour=Blue; Gender=Women; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\53409.jpg,Alma Women Printed White Kurta,a white kurtas for women ethnic(fall 2012).,ArticleType=Kurtas; Colour=White; Gender=Women; Season=Fall; Usage=Ethnic; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24715.jpg,Puma Men Alizona Navy Blue Flip Flops,a navy blue flip flops for men casual(summer 2012).,ArticleType=Flip Flops; Colour=Navy Blue; Gender=Men; Season=Summer; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4351.jpg,Mickey Men's Mickey Standing Passing Ray Brown T-shirt,a brown tshirts for men casual(summer 2011).,ArticleType=Tshirts; Colour=Brown; Gender=Men; Season=Summer; Usage=Casual; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\49229.jpg,Calzini Men Pack of 5 Socks,a black socks for men casual(summer 2016).,ArticleType=Socks; Colour=Black; Gender=Men; Season=Summer; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\6674.jpg,Nike Women Lunar Swift Black Shoe,a black sports shoes for women sports(summer 2011).,ArticleType=Sports Shoes; Colour=Black; Gender=Women; Season=Summer; Usage=Sports; Year=2011
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\11281.jpg,Wrangler Men Blue Texas Jeans,a blue jeans for men casual(summer 2016).,ArticleType=Jeans; Colour=Blue; Gender=Men; Season=Summer; Usage=Casual; Year=2016
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\57210.jpg,Kraus Jeans Women Blue Jeggings,a blue jeggings for women casual(fall 2012).,ArticleType=Jeggings; Colour=Blue; Gender=Women; Season=Fall; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59055.jpg,Carlton London Women Black Shoes,a black casual shoes for women casual(winter 2012).,ArticleType=Casual Shoes; Colour=Black; Gender=Women; Season=Winter; Usage=Casual; Year=2012
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20617.jpg,Baggit Women Chika Hoor Brown Mobile Pouch,a brown mobile pouch for women casual(winter 2015).,ArticleType=Mobile Pouch; Colour=Brown; Gender=Women; Season=Winter; Usage=Casual; Year=2015
