imagePath,title,caption
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\49791.jpg,Flying Machine Men Yellow Cap,"Yellow, Caps, for Men, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\6653.jpg,Nike Men's Air Force White Orange Shoe,"White, Casual Shoes, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46153.jpg,Adrika Brown Necklace,"Brown, Necklace and Chains, for Women, Ethnic, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54338.jpg,Femella Women Blue Top,"Blue, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50390.jpg,Miss Sixty Black Dial Watch,"Black, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58269.jpg,Baggit Women Brown Handbag,"Brown, Handbags, for Women, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7713.jpg,Fila Men's Roller Black Silver Shoe,"Black, Casual Shoes, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54578.jpg,Sushilas Women Printed Black Kurta,"Black, Kurtas, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\21426.jpg,Roxy Women Pink T-shirt,"Pink, Tshirts, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\45775.jpg,Remanika Women Navy Blue Top,"Blue, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26589.jpg,Puma Men Powercat Black Sports Shoes,"Black, Sports Shoes, for Men, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\51545.jpg,Fastrack Women Sliver Dial Watch,"Silver, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\9051.jpg,ADIDAS Men Speed Boat Grey Sports Shoes,"Grey, Sports Shoes, for Men, Sports, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55094.jpg,Pond's Radiance Boosting Cleansing Mousse,"Gold, Face Wash and Cleanser, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55993.jpg,Colorbar Velvet Matte Summer Rain Lipstick 34 BR,"Purple, Lipstick, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7450.jpg,Proline Men Cream Striped Polo T-shirt,"Cream, Tshirts, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17281.jpg,U.S. Polo Assn. Men Printed Steeple Grey Tshirt,"Grey, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4449.jpg,Nike Unisex Dry Fit Navy Blue Cap,"Navy Blue, Caps, for Unisex, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\22268.jpg,Inc. 5 Women Casual Black Wedges,"Black, Heels, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3256.jpg,Puma Men's Excurse Black Shoe,"Black, Casual Shoes, for Men, Casual, Fall, 2010"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26953.jpg,Jealous 21 Women Pink Top,"Pink, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\49326.jpg,DKNY Women Black Dial Watch NY4620,"Black, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10499.jpg,Flying Machine Women Aspen Yellow Tshirts,"Yellow, Tshirts, for Women, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37257.jpg,United Colors of Benetton Men Burgundy Shoes,"Burgundy, Casual Shoes, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19307.jpg,Nike Men Air Citius 2+ MSL White Sports Shoes,"Silver, Sports Shoes, for Men, Sports, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20479.jpg,Baggit Women Flare Hoor Green Handbag,"Green, Handbags, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\29050.jpg,ADIDAS Men Printed Grey T-shirt,"Grey, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23635.jpg,DC Comics Men White Printed T-shirt,"White, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37099.jpg,Wills Lifetsyle Men Green Polo T-shirt,"Green, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17722.jpg,Reid & Taylor Men Stripes Grey Shirt,"Grey, Shirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13515.jpg,Palm Tree Kids Girl Washed Blue Skirts,"Blue, Skirts, for Women, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\10427.jpg,United Colors of Benetton Men Checks Red Shirts,"Red, Shirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59306.jpg,U.S. Polo Assn. Men White T-shirt,"White, Tshirts, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43769.jpg,Royal Diadem Purple Earrings,"Purple, Earrings, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55296.jpg,Lakme Absolute Eye Chromatic Night Desire Baked Eye Shadow,"Purple, Eyeshadow, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\42129.jpg,Nike Men Black Air Visi Pro Sports Shoes,"Black, Sports Shoes, for Men, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\31282.jpg,Puma Men Bonn Graphic Green T-shirt,"Green, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\34311.jpg,Fabindia Women Green Silk & Wool Stole,"Green, Stoles, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\50965.jpg,Enamor Lavender Smooth Bra,"Lavender, Bra, for Women, Casual, Summer, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13771.jpg,Belmonte Men Printed Grey Tshirts,"Grey, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\23925.jpg,Lotto Men Black Chamonix Sports Shoes,"Black, Sports Shoes, for Men, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\52880.jpg,FNF Printed Green Sari,"Green, Sarees, for Women, Ethnic, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33884.jpg,Citizen Men Black Dial Eco-Drive Watch,"Black, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46739.jpg,Timex Men Black Dial Watch,"Black, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\52773.jpg,Fiorelli Women Red Wallet,"Red, Wallets, for Women, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\42430.jpg,Aurelia Women Blue Kurta,"Blue, Kurtis, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54123.jpg,Rocia Women Brown Flats,"Brown, Heels, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\27059.jpg,Yelloe Women Subtle and Sophisticated Grey Handbag,"Grey, Handbags, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\34198.jpg,Proline Men Blue Striped Polo T-shirt,"Blue, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59518.jpg,Lucera Bead Necklace,"Silver, Necklace and Chains, for Women, Casual, Summer, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2820.jpg,Lee Cooper Men Formal Leather Black Sandal,"Black, Sandals, for Men, Formal, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\14045.jpg,Flying Machine Men Check Red Shirts,"Red, Shirts, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39287.jpg,Red Chief Men Black Sandals,"Black, Sandals, for Men, Casual, Summer, 2018"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\42260.jpg,John Players Men Blue Jeans,"Blue, Jeans, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28159.jpg,Ray-Ban Men Aviator Sunglasses,"Metallic, Sunglasses, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33743.jpg,Vero Moda Women Simka Grey Top,"Grey, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28378.jpg,Idee Men Black Sunglasses,"Black, Sunglasses, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\21938.jpg,Murcia Women Casual Purple Handbag,"Purple, Handbags, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26634.jpg,Puma Men Future Cat Red Casual Shoes,"Red, Casual Shoes, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\34462.jpg,ADIDAS Unisex Black Laptop Sleeve,"Black, Laptop Bag, for Unisex, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58955.jpg,Denim Men Temptation Deo,"Red, Deodorant, for Men, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3124.jpg,Inkfruit Men's Soccer Power Blue T-shirt,"Blue, Tshirts, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55595.jpg,Peter England Men Brown Check Shirt,"White, Shirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\56573.jpg,Streetwear Stay On Mineral Marble Foundation,"Skin, Foundation and Primer, for Women, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39823.jpg,Red Tape Men Brown Sandals,"Brown, Sandals, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47078.jpg,Shree Women Multi Colored Patiala,"Multi, Patiala, for Women, Ethnic, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\37789.jpg,John Players Men Formal Lavender Shirt,"Lavender, Shirts, for Men, Formal, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\52823.jpg,Adrika Green Earrings,"Green, Earrings, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\34978.jpg,Fabindia Women Black Stole,"Black, Stoles, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55057.jpg,Lakme Enrich Satins Lipstick 129,"Pink, Lipstick, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58988.jpg,Cavallini Women Deo,"Green, Deodorant, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25966.jpg,Femella Women Brown Dress,"Brown, Dresses, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54987.jpg,Femella Women Black Top,"Black, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24868.jpg,Reid & Taylor Men Casual Black Wallet,"Black, Wallets, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46419.jpg,Timex Men Brown Dial Empera Watch,"Brown, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\8843.jpg,Scullers Men Scul Beige Trousers,"Beige, Trousers, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\57102.jpg,Elle Women White EssentialsTop,"White, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55430.jpg,Revlon Honey Colorburst Lipstick 097,"Peach, Lipstick, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43639.jpg,Vero Moda Women Magenta Top,"Magenta, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38660.jpg,Nike Men Braata Canvas Red Casual Shoes,"Maroon, Casual Shoes, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\7911.jpg,Proline Men Grey & Yellow Striped Polo T-shirt,"Grey, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\40999.jpg,Gini and Jony Girls Woven Black Jeans,"Black, Jeans, for Girls, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13519.jpg,Spykar Men Stripes White Sweatshirts,"White, Sweatshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3699.jpg,Tantra Women's Shloka Navy Long T-shirt,"Navy Blue, Tshirts, for Women, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13715.jpg,Proline Mens Solid Black Polo Tshirt,"Black, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\27128.jpg,Miss-T Cream Bra,"Cream, Bra, for Women, Casual, Summer, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39834.jpg,Gini and Jony Boys Striped Yellow T-Shirt,"Yellow, Tshirts, for Boys, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25337.jpg,CASIO Sheen Women Silver-Toned Dial Analogue Watch (SH170) SHN-3017D-7ADR,"Silver, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\51667.jpg,Louis Philippe Men Grey Sunglasses,"Grey, Sunglasses, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\3462.jpg,ADIDAS Men's Ezeiro Silver Black Shoe,"Silver, Sports Shoes, for Men, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24768.jpg,Spalding Men Grey Flip-Flops,"Grey, Flip Flops, for Men, Casual, Spring, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25249.jpg,Lino Perros Women Leatherette Brown Handbag,"Brown, Handbags, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2220.jpg,Puma Men Carbon Black Sandal,"Black, Sandals, for Men, Sports, Fall, 2010"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\56093.jpg,Colorbar Star Mauve Fizz Lip Gloss 014,"Mauve, Lip Gloss, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58174.jpg,Rocky S Women White Handbag,"White, Handbags, for Women, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\34451.jpg,Rocia Women Black Sandals,"Black, Flats, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39632.jpg,Nike Men Air Max Courtballistec Red Sports Shoes,"Red, Sports Shoes, for Men, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\40658.jpg,Span Women Multi Coloured Kurta,"Multi, Kurtas, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26348.jpg,DKNY Women Quartz Watch,"White, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\15738.jpg,Nike Men Black Flip Flops,"Black, Flip Flops, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55253.jpg,Lakme Glide On Aqua Marine Eye Color,"Blue, Kajal and Eyeliner, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\30484.jpg,Lovable Women Fiona Black Bra,"Black, Bra, for Women, Casual, Summer, 2014"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\51325.jpg,Wildcraft Unisex Black & Grey Checked Bishop Sling Bag,"Black, Handbags, for Unisex, Casual, Summer, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4865.jpg,ADIDAS Men White Liverpool Jersey,"White, Tshirts, for Men, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\43566.jpg,Puma Unisex Red Buddy Backpack,"Red, Backpacks, for Unisex, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47276.jpg,FCUK Underwear Black & White Boxers,"Black, Boxers, for Men, Casual, Summer, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\38673.jpg,Nike Women Purple Sports Shoes,"Purple, Sports Shoes, for Women, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46527.jpg,Timex Men White Dial Watch T2M707,"White, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\19495.jpg,Puma Men Sport Quarters Pack of 3 White Socks,"White, Socks, for Men, Sports, Summer, 2010"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\11230.jpg,Esprit Women Cine Citta White Watches,"White, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\49638.jpg,Mineral Women Pink Top,"Pink, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36906.jpg,Fossil Men Grey Dial Watch ME1114,"Grey, Watches, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46243.jpg,Fusion Beats Women White & Green Tunic,"White, Tunics, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\11970.jpg,Batman Men's Good Evil Grey T-shirt,"Grey, Tshirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\44814.jpg,Spykar Women Maroon Top,"Maroon, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\58629.jpg,ToniQ Women Black Bangles,"Black, Bangle, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\25045.jpg,Lino Perros Men Formal Blue Red Accessory Gift Set,"Blue, Accessory Gift Set, for Men, Formal, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\11225.jpg,Esprit Women Cinecitta Black Steel Watches,"Steel, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\21496.jpg,Kiara Women Mustard Leatherite Handbag,"Mustard, Handbags, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\22375.jpg,Mark Taylor Men White Striped Blue Shirt,"Blue, Shirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\6300.jpg,UCB Women's Epaulettes Sleeve Green T-shirt,"Green, Tshirts, for Women, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\54103.jpg,Rocia Women Black Flats,"Black, Heels, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\11877.jpg,Franco Leone Men Casual Brown Sandals,"Brown, Sandals, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\33580.jpg,Wrangler Men Hiker Striped Blue T-shirt,"Blue, Tshirts, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36381.jpg,Reid & Taylor Men Grey Socks,"Grey, Socks, for Men, Casual, Summer, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\15850.jpg,Warner Bros Kids Unisex TJ Playlogs Blue Sandals,"Blue, Sandals, for Unisex, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46480.jpg,Timex Women Steel Watch,"Steel, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17724.jpg,Reid & Taylor Men Check Grey Shirt,"Grey, Shirts, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\59643.jpg,FNF Multicoloured Evening Wear Sari,"Grey, Sarees, for Women, Ethnic, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\36322.jpg,Mr.Men Boys Mr. Scatterbrain White T-shirt,"White, Tshirts, for Boys, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\12414.jpg,Reid & Taylor Men Casual Black Wallets,"Black, Wallets, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26744.jpg,Reebok Men Reeplay Deo,"Red, Deodorant, for Men, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17759.jpg,Buckaroo Men Rey charcoal Casual Shoe,"Charcoal, Casual Shoes, for Men, Casual, Winter, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\48206.jpg,United Colors of Benetton Men Black Sunglasses,"Black, Sunglasses, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\45943.jpg,Mumbai Slang Women Green Top,"Green, Tops, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\52350.jpg,Red Rose Women Blue Nightdress,"Blue, Nightdress, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\18350.jpg,Fila Mens Ankel Logo White Socks,"White, Socks, for Men, Casual, Summer, 2013"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\53579.jpg,Q&Q Men Blue Dial Watch,"Blue, Free Gifts, for Men, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28516.jpg,Nike Men Home Red Jersey,"Red, Tshirts, for Men, Sports, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\9169.jpg,Locomotive Men Ian Blue Jeans,"Blue, Jeans, for Men, Casual, Fall, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46725.jpg,Rassasi Men Deo and Perfume,"Silver, Deodorant, for Men, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\5481.jpg,Nike Men Air Courtballistec Blue Shoe,"Blue, Sports Shoes, for Men, Sports, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\13280.jpg,Inc 5 Women Casual Multi Flats,"Multi, Heels, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\28763.jpg,Aurelia Women Maroon Kurta,"Maroon, Kurtas, for Women, Ethnic, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\20907.jpg,Catwalk Women Casual Gold Sandals,"Gold, Heels, for Women, Casual, Winter, 2015"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\2716.jpg,Disney Kids Girl's Minnie Red Stripped Kidswear,"Red, Tops, for Girls, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\47335.jpg,Baggit Women Green Handbag,"Green, Handbags, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\55984.jpg,Colorbar Velvet Matte Love That Rust Lipstick 48 BR,"Red, Lipstick, for Women, Casual, Spring, 2017"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\26556.jpg,Lee Cooper Men Black Sandals,"Black, Sandals, for Men, Casual, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\39375.jpg,Helix Women Silver Dial Watch,"Silver, Watches, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\56885.jpg,HM Women Red Heels,"Red, Heels, for Women, Casual, Winter, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\46973.jpg,Bulchee Women Black Handbag,"Black, Handbags, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\17312.jpg,Pepe Jeans Women Casual Sunglasses,"Black, Sunglasses, for Women, Casual, Winter, 2016"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\51505.jpg,Denizen Women Blue Jeans,"Blue, Jeans, for Women, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\53409.jpg,Alma Women Printed White Kurta,"White, Kurtas, for Women, Ethnic, Fall, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\24715.jpg,Puma Men Alizona Navy Blue Flip Flops,"Navy Blue, Flip Flops, for Men, Casual, Summer, 2012"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\4351.jpg,Mickey Men's Mickey Standing Passing Ray Brown T-shirt,"Brown, Tshirts, for Men, Casual, Summer, 2011"
D:/Code/INFT2060_AiProject_JoshuaChalmers/ecommerce/images\49229.jpg,Calzini Men Pack of 5 Socks,"Black, Socks, for Men, Casual, Summer, 2016"
